date,CHN,KOR
1/21/20,278,1
1/22/20,300,1
1/23/20,574,1
1/24/20,830,2
1/25/20,1297,2
1/26/20,1985,2
1/27/20,2761,4
1/28/20,4537,4
1/29/20,5997,4
1/30/20,7736,4
1/31/20,9720,11
2/1/20,11821,12
2/2/20,14411,15
2/3/20,17238,15
2/4/20,20471,16
2/5/20,24363,18
2/6/20,28060,23
2/7/20,31211,24
2/8/20,34598,24
2/9/20,37251,27
2/10/20,40235,27
2/11/20,42708,28
2/12/20,44730,28
2/13/20,46550,28
2/14/20,48548,28
2/15/20,50054,28
2/16/20,51174,29
2/17/20,70635,30
2/18/20,72528,31
2/19/20,74280,51
2/20/20,74675,104
2/21/20,75569,204
2/22/20,76392,346
2/23/20,77042,602
2/24/20,77262,763
2/25/20,77780,977
2/26/20,78191,1261
2/27/20,78630,1766
2/28/20,78961,2337
2/29/20,79394,3150
3/1/20,79968,3736
3/2/20,80174,4212
3/3/20,80304,4812
3/4/20,80422,5428
