wt,pos
210,Pitchers
225,Pitchers
170,Pitchers
220,Pitchers
260,Pitchers
205,Pitchers
225,Pitchers
200,Pitchers
225,Pitchers
265,Pitchers
190,Pitchers
200,Pitchers
285,Pitchers
205,Pitchers
232,Pitchers
234,Pitchers
235,Pitchers
237,Pitchers
238,Pitchers
210,Pitchers
285,Pitchers
180,Pitchers
245,Pitchers
240,Pitchers
205,Pitchers
200,Pitchers
190,Pitchers
215,Pitchers
200,Pitchers
200,Pitchers
200,Pitchers
205,Pitchers
185,Pitchers
170,Pitchers
220,Pitchers
205,Pitchers
185,Pitchers
240,Pitchers
220,Pitchers
200,Pitchers
225,Pitchers
245,Pitchers
220,Pitchers
215,Pitchers
185,Pitchers
215,Pitchers
235,Pitchers
230,Pitchers
200,Pitchers
215,Pitchers
195,Pitchers
175,Pitchers
185,Pitchers
215,Pitchers
225,Pitchers
240,Pitchers
225,Pitchers
205,Pitchers
250,Pitchers
200,Pitchers
180,Pitchers
185,Pitchers
245,Pitchers
205,Pitchers
200,Pitchers
190,Pitchers
220,Pitchers
195,Pitchers
200,Pitchers
195,Pitchers
240,Infielder
235,Infielder
205,Infielder
210,Infielder
190,Infielder
225,Infielder
195,Infielder
240,Infielder
180,Infielder
195,Infielder
160,Infielder
210,Infielder
240,Infielder
205,Infielder
255,Infielder
205,Infielder
150,Infielder
220,Infielder
245,Infielder
225,Infielder
230,Infielder
205,Infielder
175,Infielder
225,Infielder
210,Infielder
235,Infielder
185,Infielder
180,Infielder
170,Infielder
200,Infielder
200,Infielder
220,Infielder
200,Infielder
225,Infielder
200,Infielder
210,Infielder
205,Infielder
200,Infielder
195,Infielder
220,Infielder
210,Infielder
205,Infielder
220,Infielder
240,Infielder
200,Infielder
295,Infielder
190,Infielder
210,Infielder
215,Infielder
230,Infielder
210,Infielder
220,Infielder
205,Infielder
170,Infielder
200,Infielder
205,Infielder
195,Infielder
225,Infielder
205,Infielder
175,Infielder
215,Outfielder
220,Outfielder
210,Outfielder
195,Outfielder
150,Outfielder
190,Outfielder
180,Outfielder
200,Outfielder
215,Outfielder
200,Outfielder
180,Outfielder
205,Outfielder
220,Outfielder
210,Outfielder
200,Outfielder
215,Outfielder
225,Outfielder
220,Outfielder
200,Outfielder
160,Outfielder
210,Outfielder
190,Outfielder
180,Outfielder
225,Outfielder
185,Outfielder
190,Outfielder
220,Outfielder
235,Outfielder
215,Outfielder
260,Outfielder
166,Outfielder
250,Outfielder
180,Outfielder
200,Outfielder
220,Outfielder
230,Outfielder
245,Outfielder
215,Outfielder
165,Outfielder
210,Outfielder
190,Outfielder
210,Outfielder
245,Outfielder
245,Outfielder
250,Outfielder
195,Outfielder
190,Outfielder
180,Outfielder
195,Outfielder
195,Outfielder
195,Outfielder
230,Outfielder
230,Outfielder
