Pitchers,Infielder,Outfielder
210,240,215
225,235,220
170,205,210
220,210,195
260,190,150
205,225,190
225,195,180
200,240,200
225,180,215
265,195,200
190,160,180
200,210,205
285,240,220
205,205,210
232,255,200
234,205,215
235,150,225
237,220,220
238,245,200
210,225,160
285,230,210
180,205,190
245,175,180
240,225,225
205,210,185
200,235,190
190,185,220
215,180,235
200,170,215
200,200,260
200,200,166
205,220,250
185,200,180
170,225,200
220,200,220
205,210,230
185,205,245
240,200,215
220,195,165
200,220,210
225,210,190
245,205,210
220,220,245
215,240,245
185,200,250
215,295,195
235,190,190
230,210,180
200,215,195
215,230,195
195,210,195
175,220,230
185,205,230
215,170,
225,200,
240,205,
225,195,
205,225,
250,205,
200,175,
180,,
185,,
245,,
205,,
200,,
190,,
220,,
195,,
200,,
195,,
