SAT.V,SAT.Q,SAT.C,School,GPA,Status,Gender
690,580,1270,BUSINESS,3.8235,G,M
530,710,1240,NATURAL SCIENCE,3.5338,G,F
610,700,1310,NATURAL SCIENCE,3.3679,G,F
730,700,1430,ENGINEERING,3.3437,G,F
700,710,1410,NATURAL SCIENCE,3.7205,G,M
540,690,1230,LIBERAL ARTS,2.6851,G,F
740,680,1420,ENGINEERING,3.614,G,M
590,660,1250,BUSINESS,2.1403,G,F
540,540,1080,LIBERAL ARTS,2.7441,G,F
550,580,1130,LIBERAL ARTS,3.7741,G,M
800,650,1450,LIBERAL ARTS,4,G,M
750,710,1460,NATURAL SCIENCE,3.2408,G,M
630,710,1340,LIBERAL ARTS,2.6521,G,F
710,700,1410,LIBERAL ARTS,3.6277,G,M
670,660,1330,LIBERAL ARTS,3.8646,G,M
630,710,1340,COMMUNICATIONS,3.7669,G,F
660,680,1340,ENGINEERING,3.4825,G,F
610,730,1340,LIBERAL ARTS,3.85,G,F
530,630,1160,ENGINEERING,2.7573,G,M
750,700,1450,NATURAL SCIENCE,3.7179,G,F
650,580,1230,FINE ARTS,3.9449,G,F
560,570,1130,BUSINESS,3.6944,G,M
550,650,1200,LIBERAL ARTS,3.3529,G,F
510,440,950,LIBERAL ARTS,2.4033,G,F
580,640,1220,LIBERAL ARTS,3.7032,G,F
540,680,1220,LIBERAL ARTS,3.2758,G,M
590,590,1180,LIBERAL ARTS,2.7341,G,M
720,670,1390,LIBERAL ARTS,2.7258,G,F
680,660,1340,NATURAL SCIENCE,3.0522,G,M
740,790,1530,BUSINESS,3.6994,G,F
580,620,1200,BUSINESS,3.2089,G,M
500,520,1020,LIBERAL ARTS,2.8461,G,F
690,680,1370,BUSINESS,3.2812,G,F
710,770,1480,ENGINEERING,3.2534,G,F
540,560,1100,NATURAL SCIENCE,3.2434,G,F
600,700,1300,ENGINEERING,3.5891,G,M
700,750,1450,ENGINEERING,4,G,M
560,660,1220,LIBERAL ARTS,3.8644,G,F
550,700,1250,FINE ARTS,2.8119,G,F
660,740,1400,BUSINESS,3.7647,G,F
720,730,1450,LIBERAL ARTS,3.7876,G,F
560,520,1080,LIBERAL ARTS,3.1259,G,M
590,620,1210,ENGINEERING,2.3801,G,M
580,630,1210,BUSINESS,3.5945,G,M
560,560,1120,LIBERAL ARTS,3.2692,G,M
670,640,1310,COMMUNICATIONS,2.9687,G,F
690,710,1400,NATURAL SCIENCE,3.6607,G,F
690,690,1380,ENGINEERING,3.2919,G,F
690,600,1290,ARCHITECTURE,3.5298,G,F
600,700,1300,NATURAL SCIENCE,3.4444,G,M
540,610,1150,NATURAL SCIENCE,3.7058,G,F
640,650,1290,BUSINESS,3.0909,G,F
710,650,1360,LIBERAL ARTS,3.75,G,M
680,580,1260,LIBERAL ARTS,3.44,G,M
650,660,1310,NATURAL SCIENCE,2.7681,G,F
690,530,1220,SOCIAL WORK,3.7604,G,M
660,690,1350,BUSINESS,3.7196,G,M
530,640,1170,LIBERAL ARTS,3.407,G,F
650,580,1230,BUSINESS,3.414,G,F
630,610,1240,LIBERAL ARTS,3.03,G,F
640,650,1290,BUSINESS,3.3076,G,F
650,800,1450,LIBERAL ARTS,3.9343,G,F
690,640,1330,EDUCATION,4,G,F
680,620,1300,LIBERAL ARTS,2.9272,G,M
600,630,1230,COMMUNICATIONS,3.6823,G,F
650,590,1240,NATURAL SCIENCE,2.8194,G,F
610,540,1150,FINE ARTS,3.8717,G,F
520,630,1150,NATURAL SCIENCE,2.8985,G,F
650,780,1430,ENGINEERING,2.8655,G,F
360,660,1020,ENGINEERING,2.632,G,M
610,640,1250,LIBERAL ARTS,2.7317,G,F
590,500,1090,LIBERAL ARTS,3.754,G,M
600,660,1260,BUSINESS,3.1632,G,F
640,660,1300,LIBERAL ARTS,3.625,G,F
590,620,1210,NATURAL SCIENCE,2.9469,G,M
520,610,1130,BUSINESS,2.6617,G,M
690,650,1340,LIBERAL ARTS,3.3703,G,M
380,710,1090,LIBERAL ARTS,3.3089,G,M
470,490,960,LIBERAL ARTS,3.3025,G,F
660,650,1310,BUSINESS,3.0612,G,M
500,530,1030,BUSINESS,2.6857,G,F
620,570,1190,LIBERAL ARTS,2.7545,G,F
630,730,1360,BUSINESS,3.2251,G,F
670,670,1340,ARCHITECTURE,2.8593,G,F
620,570,1190,LIBERAL ARTS,3.3096,G,M
530,560,1090,LIBERAL ARTS,3.031,G,F
590,520,1110,LIBERAL ARTS,3.4418,G,F
590,730,1320,BUSINESS,3.4418,G,M
600,580,1180,LIBERAL ARTS,2.6422,G,F
630,650,1280,BUSINESS,3.1311,G,F
570,590,1160,FINE ARTS,3.0697,G,M
630,670,1300,ENGINEERING,3.0229,G,F
470,580,1050,LIBERAL ARTS,2.6594,G,M
540,690,1230,ENGINEERING,3.2935,G,F
670,550,1220,COMMUNICATIONS,3.8659,G,M
600,460,1060,COMMUNICATIONS,3.1296,G,F
570,630,1200,LIBERAL ARTS,2.1503,G,M
690,610,1300,LIBERAL ARTS,3.0306,G,M
680,700,1380,ENGINEERING,2.8934,G,F
680,560,1240,LIBERAL ARTS,3.7631,G,F
720,670,1390,LIBERAL ARTS,4,G,M
700,750,1450,BUSINESS,3.824,G,F
400,580,980,ENGINEERING,3.5044,G,F
640,710,1350,LIBERAL ARTS,3.6074,G,F
750,720,1470,NATURAL SCIENCE,2.0954,G,F
530,510,1040,LIBERAL ARTS,2.0674,G,F
580,630,1210,LIBERAL ARTS,3.542,G,M
680,800,1480,NATURAL SCIENCE,3.056,G,M
700,700,1400,ENGINEERING,3.5766,G,F
550,710,1260,NATURAL SCIENCE,2.5083,G,F
650,790,1440,ENGINEERING,3.1166,G,F
780,670,1450,NATURAL SCIENCE,3.5845,G,M
600,640,1240,LIBERAL ARTS,3.26,G,F
580,670,1250,NATURAL SCIENCE,3.1452,G,F
550,490,1040,NATURAL SCIENCE,2.8796,G,F
480,600,1080,LIBERAL ARTS,3.26,G,M
690,630,1320,LIBERAL ARTS,3.1232,G,F
540,610,1150,LIBERAL ARTS,3.3387,G,F
600,570,1170,FINE ARTS,3.4765,G,M
560,560,1120,BUSINESS,2.6688,G,M
480,670,1150,ENGINEERING,2.8359,G,F
650,640,1290,NATURAL SCIENCE,3.2826,G,M
750,680,1430,BUSINESS,3.6017,G,F
700,750,1450,ENGINEERING,2.0859,G,F
540,650,1190,NATURAL SCIENCE,3.1727,G,M
630,660,1290,NATURAL SCIENCE,3.5114,G,F
700,560,1260,FINE ARTS,3.9052,G,M
630,590,1220,BUSINESS,3.9672,G,F
600,550,1150,LIBERAL ARTS,3.3958,G,F
670,760,1430,BUSINESS,3.6538,G,M
700,720,1420,ENGINEERING,3.8225,G,M
710,610,1320,LIBERAL ARTS,3.7168,G,M
500,440,940,LIBERAL ARTS,2.8984,G,M
680,800,1480,ENGINEERING,3.968,G,M
590,560,1150,LIBERAL ARTS,2.6688,G,M
580,530,1110,COMMUNICATIONS,3.6526,G,F
650,760,1410,LIBERAL ARTS,3.2982,G,F
560,720,1280,NATURAL SCIENCE,2.5661,G,F
640,690,1330,BUSINESS,2.9545,G,F
560,610,1170,NATURAL SCIENCE,3.1791,G,M
560,640,1200,NATURAL SCIENCE,3.832,G,M
600,580,1180,BUSINESS,3.2524,G,M
540,440,980,LIBERAL ARTS,2.9444,G,M
690,590,1280,LIBERAL ARTS,2.8114,G,F
630,720,1350,ENGINEERING,3.6535,G,M
470,530,1000,LIBERAL ARTS,3.4158,G,M
510,650,1160,NATURAL SCIENCE,2.9219,G,F
640,700,1340,COMMUNICATIONS,2.9449,G,F
650,800,1450,ENGINEERING,3.2705,G,M
630,720,1350,LIBERAL ARTS,3.7413,G,F
600,660,1260,BUSINESS,3.647,G,M
500,700,1200,NATURAL SCIENCE,2.9065,G,F
540,620,1160,NATURAL SCIENCE,3.7317,G,F
570,710,1280,BUSINESS,3.8264,G,F
710,720,1430,BUSINESS,3.4833,G,F
560,710,1270,BUSINESS,3.75,G,M
710,720,1430,LIBERAL ARTS,3.2865,G,M
610,650,1260,COMMUNICATIONS,3.9361,G,F
670,530,1200,COMMUNICATIONS,3.7131,G,F
460,510,970,COMMUNICATIONS,3.0396,G,M
500,670,1170,BUSINESS,3.1165,G,M
520,640,1160,BUSINESS,3.3578,G,F
580,670,1250,BUSINESS,2.4233,G,M
600,650,1250,NATURAL SCIENCE,2.6691,G,M
610,740,1350,BUSINESS,3.5983,G,M
650,740,1390,ENGINEERING,3.0215,G,M
580,440,1020,LIBERAL ARTS,3.5546,G,M
600,640,1240,NATURAL SCIENCE,2.406,G,F
560,580,1140,NATURAL SCIENCE,3.8461,G,M
650,710,1360,LIBERAL ARTS,3.1192,G,M
790,800,1590,BUSINESS,4,G,M
500,580,1080,LIBERAL ARTS,3.1355,G,F
510,720,1230,ENGINEERING,3.1395,G,M
490,530,1020,LIBERAL ARTS,2.6046,G,F
660,660,1320,NATURAL SCIENCE,3.8623,G,M
530,590,1120,BUSINESS,3.115,G,M
660,750,1410,LIBERAL ARTS,2.8434,G,F
630,540,1170,EDUCATION,3.7478,G,M
580,470,1050,NATURAL SCIENCE,3.2241,G,F
560,660,1220,NATURAL SCIENCE,2.7647,G,M
680,650,1330,FINE ARTS,3.8571,G,F
580,740,1320,ENGINEERING,3.9295,G,M
720,690,1410,ENGINEERING,3.3548,G,M
750,650,1400,LIBERAL ARTS,3.5281,G,M
480,540,1020,ENGINEERING,3.1,G,F
530,510,1040,BUSINESS,3.3211,G,F
600,710,1310,COMMUNICATIONS,3.6,G,M
600,740,1340,NATURAL SCIENCE,3.129,G,M
650,740,1390,BUSINESS,3.7767,G,F
450,450,900,NATURAL SCIENCE,3.2647,G,M
570,530,1100,LIBERAL ARTS,3.7391,G,F
680,610,1290,NATURAL SCIENCE,3.6818,G,M
710,710,1420,NATURAL SCIENCE,3.8085,G,M
780,790,1570,BUSINESS,3.8211,G,M
790,760,1550,BUSINESS,3.7583,G,M
540,650,1190,BUSINESS,3.6915,G,M
690,740,1430,LIBERAL ARTS,3.84,G,F
720,770,1490,ENGINEERING,3.1842,G,M
580,530,1110,LIBERAL ARTS,3.4424,G,M
560,600,1160,LIBERAL ARTS,3.1086,G,M
680,700,1380,BUSINESS,3.5784,G,F
640,640,1280,ENGINEERING,3.2312,G,M
630,630,1260,NATURAL SCIENCE,2.971,G,M
500,580,1080,LIBERAL ARTS,3.0884,G,F
790,740,1530,COMMUNICATIONS,3.7972,G,M
660,610,1270,COMMUNICATIONS,3.8584,G,M
540,470,1010,NATURAL SCIENCE,3.4711,G,M
720,520,1240,LIBERAL ARTS,2.7538,G,F
640,620,1260,LIBERAL ARTS,3.5851,G,M
570,520,1090,LIBERAL ARTS,2.8191,G,F
620,730,1350,BUSINESS,2.7478,G,M
710,690,1400,LIBERAL ARTS,2.8691,G,M
570,660,1230,BUSINESS,4,G,F
630,590,1220,LIBERAL ARTS,3.0268,G,F
630,590,1220,LIBERAL ARTS,3.3442,G,M
380,540,920,LIBERAL ARTS,2.6132,G,M
570,600,1170,LIBERAL ARTS,3.1098,G,M
480,580,1060,LIBERAL ARTS,2.8139,G,M
570,640,1210,FINE ARTS,3.8,G,M
520,630,1150,NATURAL SCIENCE,2.6551,G,M
730,710,1440,LIBERAL ARTS,3.1735,G,F
700,620,1320,LIBERAL ARTS,3.2714,G,F
690,490,1180,EDUCATION,2.5681,G,M
510,580,1090,BUSINESS,2.3781,G,F
600,670,1270,LIBERAL ARTS,3.8446,G,M
620,620,1240,BUSINESS,3.5064,G,F
680,740,1420,NATURAL SCIENCE,3.892,G,M
670,700,1370,LIBERAL ARTS,3.4489,G,M
650,650,1300,LIBERAL ARTS,3.9186,G,F
700,660,1360,ENGINEERING,3.8362,G,F
750,790,1540,NATURAL SCIENCE,3.7967,G,F
630,540,1170,LIBERAL ARTS,2.466,G,F
770,640,1410,LIBERAL ARTS,3.2975,G,M
540,610,1150,NATURAL SCIENCE,3.2959,G,M
690,670,1360,LIBERAL ARTS,2.5267,G,M
690,800,1490,ENGINEERING,3.8913,G,F
770,630,1400,COMMUNICATIONS,3.2051,G,F
530,570,1100,LIBERAL ARTS,3.1595,G,M
650,580,1230,ENGINEERING,3.0245,G,M
540,620,1160,FINE ARTS,3.3606,G,M
650,660,1310,BUSINESS,3.9439,G,F
760,690,1450,LIBERAL ARTS,3.7445,G,F
570,590,1160,BUSINESS,3.4134,G,M
720,670,1390,BUSINESS,3.8723,G,M
630,640,1270,LIBERAL ARTS,3.2666,G,M
510,540,1050,BUSINESS,2.8425,G,M
550,530,1080,LIBERAL ARTS,3.2989,G,F
650,690,1340,LIBERAL ARTS,3.68,G,M
590,570,1160,FINE ARTS,3.2777,G,F
690,660,1350,LIBERAL ARTS,3.8672,G,M
640,650,1290,NATURAL SCIENCE,3.6384,G,F
600,620,1220,LIBERAL ARTS,2.7551,G,M
540,540,1080,LIBERAL ARTS,3,G,M
570,650,1220,NATURAL SCIENCE,2.6541,G,M
570,640,1210,NATURAL SCIENCE,4,G,F
690,680,1370,NATURAL SCIENCE,3.8461,G,M
730,650,1380,LIBERAL ARTS,3.9512,G,F
600,640,1240,LIBERAL ARTS,2.8911,G,F
710,650,1360,ENGINEERING,3.7934,G,F
540,740,1280,ENGINEERING,3.4594,G,M
480,590,1070,NATURAL SCIENCE,2.4786,G,M
690,710,1400,LIBERAL ARTS,3.8487,G,M
560,660,1220,EDUCATION,3.8181,G,F
590,580,1170,LIBERAL ARTS,2.835,G,F
670,790,1460,ENGINEERING,3.6861,G,M
