"team"	"year"	"winr"	"tm"
"1"	"ATL"	1996	0.561	"ATL"
"2"	"BOS"	1996	0.402	"BOS"
"3"	"BRK"	1996	0.366	"BRK"
"4"	"CHA"	1996	0.5	"CHA"
"5"	"CHI"	1996	0.878	"CHI"
"6"	"CLE"	1996	0.573	"CLE"
"7"	"DAL"	1996	0.317	"DAL"
"8"	"DEN"	1996	0.427	"DEN"
"9"	"DET"	1996	0.561	"DET"
"10"	"GSW"	1996	0.439	"GSW"
"11"	"HOU"	1996	0.585	"HOU"
"12"	"IND"	1996	0.634	"IND"
"13"	"LAC"	1996	0.354	"LAC"
"14"	"LAL"	1996	0.646	"LAL"
"15"	"MEM"	1996	0.183	"MEM"
"16"	"MIA"	1996	0.512	"MIA"
"17"	"MIL"	1996	0.305	"MIL"
"18"	"MIN"	1996	0.317	"MIN"
"19"	"NOP"	1996	NA	"NOP"
"20"	"NYK"	1996	0.573	"NYK"
"21"	"OKC"	1996	0.78	"OKC"
"22"	"ORL"	1996	0.732	"ORL"
"23"	"PHI"	1996	0.22	"PHI"
"24"	"PHO"	1996	0.5	"PHO"
"25"	"POR"	1996	0.537	"POR"
"26"	"SAC"	1996	0.476	"SAC"
"27"	"SAS"	1996	0.72	"SAS"
"28"	"TOR"	1996	0.256	"TOR"
"29"	"UTA"	1996	0.671	"UTA"
"30"	"WSB"	1996	0.476	"WSB"
"31"	"ATL"	1997	0.683	"ATL"
"32"	"BOS"	1997	0.183	"BOS"
"33"	"BRK"	1997	0.317	"BRK"
"34"	"CHA"	1997	0.659	"CHA"
"35"	"CHI"	1997	0.841	"CHI"
"36"	"CLE"	1997	0.512	"CLE"
"37"	"DAL"	1997	0.293	"DAL"
"38"	"DEN"	1997	0.256	"DEN"
"39"	"DET"	1997	0.659	"DET"
"40"	"GSW"	1997	0.366	"GSW"
"41"	"HOU"	1997	0.695	"HOU"
"42"	"IND"	1997	0.476	"IND"
"43"	"LAC"	1997	0.439	"LAC"
"44"	"LAL"	1997	0.683	"LAL"
"45"	"MEM"	1997	0.171	"MEM"
"46"	"MIA"	1997	0.744	"MIA"
"47"	"MIL"	1997	0.402	"MIL"
"48"	"MIN"	1997	0.488	"MIN"
"49"	"NOP"	1997	NA	"NOP"
"50"	"NYK"	1997	0.695	"NYK"
"51"	"OKC"	1997	0.695	"OKC"
"52"	"ORL"	1997	0.549	"ORL"
"53"	"PHI"	1997	0.268	"PHI"
"54"	"PHO"	1997	0.488	"PHO"
"55"	"POR"	1997	0.598	"POR"
"56"	"SAC"	1997	0.415	"SAC"
"57"	"SAS"	1997	0.244	"SAS"
"58"	"TOR"	1997	0.366	"TOR"
"59"	"UTA"	1997	0.78	"UTA"
"60"	"WSB"	1997	0.537	"WSB"
"61"	"ATL"	1998	0.61	"ATL"
"62"	"BOS"	1998	0.439	"BOS"
"63"	"BRK"	1998	0.524	"BRK"
"64"	"CHA"	1998	0.622	"CHA"
"65"	"CHI"	1998	0.756	"CHI"
"66"	"CLE"	1998	0.573	"CLE"
"67"	"DAL"	1998	0.244	"DAL"
"68"	"DEN"	1998	0.134	"DEN"
"69"	"DET"	1998	0.451	"DET"
"70"	"GSW"	1998	0.232	"GSW"
"71"	"HOU"	1998	0.5	"HOU"
"72"	"IND"	1998	0.707	"IND"
"73"	"LAC"	1998	0.207	"LAC"
"74"	"LAL"	1998	0.744	"LAL"
"75"	"MEM"	1998	0.232	"MEM"
"76"	"MIA"	1998	0.671	"MIA"
"77"	"MIL"	1998	0.439	"MIL"
"78"	"MIN"	1998	0.549	"MIN"
"79"	"NOP"	1998	NA	"NOP"
"80"	"NYK"	1998	0.524	"NYK"
"81"	"OKC"	1998	0.744	"OKC"
"82"	"ORL"	1998	0.5	"ORL"
"83"	"PHI"	1998	0.378	"PHI"
"84"	"PHO"	1998	0.683	"PHO"
"85"	"POR"	1998	0.561	"POR"
"86"	"SAC"	1998	0.329	"SAC"
"87"	"SAS"	1998	0.683	"SAS"
"88"	"TOR"	1998	0.195	"TOR"
"89"	"UTA"	1998	0.756	"UTA"
"90"	"WSB"	1998	0.512	"WSB"
"91"	"ATL"	1999	0.62	"ATL"
"92"	"BOS"	1999	0.38	"BOS"
"93"	"BRK"	1999	0.32	"BRK"
